2026-04-27 10:30:46,487 | INFO | app.main | health done in 1.880s
2026-04-27 10:36:03,856 | INFO | app.main | 后台 worker 已启动
2026-04-27 10:36:03,858 | INFO | app.main | 后台 worker 已停止
2026-04-27 10:38:14,295 | INFO | app.main | 后台 worker 已启动
2026-04-27 10:38:37,147 | INFO | app.main | chat start session_id=demo-1 message_length=10
2026-04-27 10:38:37,147 | INFO | app.main | chat settings loaded in 0.000s
2026-04-27 10:38:37,147 | INFO | app.main | chat rag context reset in 0.000s
2026-04-27 10:38:37,148 | INFO | app.main | chat session load start session_id=demo-1
2026-04-27 10:38:37,149 | WARNING | app.deps | Redis 不可用，回退到内存会话存储: Error 61 connecting to 127.0.0.1:6379. Connection refused.
2026-04-27 10:38:37,150 | INFO | app.main | chat session load done in 0.002s backend=memory messages=0 summary_chars=0
2026-04-27 10:38:37,150 | INFO | app.main | chat history prepared in 0.000s total_messages=0 windowed_messages=0
2026-04-27 10:38:37,150 | INFO | app.main | chat vector store prepare start
2026-04-27 10:44:49,909 | INFO | app.main | 后台 worker 已启动
2026-04-27 10:45:03,620 | INFO | app.main | chat start session_id=demo-1 message_length=10
2026-04-27 10:45:03,620 | INFO | app.main | chat settings loaded in 0.000s
2026-04-27 10:45:03,620 | INFO | app.main | chat rag context reset in 0.000s
2026-04-27 10:45:03,620 | INFO | app.main | chat session load start session_id=demo-1
2026-04-27 10:45:03,630 | WARNING | app.deps | Redis 不可用，回退到内存会话存储: Error 61 connecting to 127.0.0.1:6379. Connection refused.
2026-04-27 10:45:03,631 | INFO | app.main | chat session load done in 0.011s backend=memory messages=0 summary_chars=0
2026-04-27 10:45:03,631 | INFO | app.main | chat history prepared in 0.000s total_messages=0 windowed_messages=0
2026-04-27 10:45:03,631 | INFO | app.main | chat vector store prepare start
2026-04-27 10:45:03,631 | INFO | app.main | chat vector store prepare done in 0.000s enabled=False
2026-04-27 10:45:03,631 | INFO | app.main | chat executor build start
2026-04-27 10:48:11,459 | INFO | app.main | 后台 worker 已启动
2026-04-27 10:48:11,462 | INFO | app.main | health start
2026-04-27 10:48:11,463 | INFO | app.main | health settings loaded in 0.001s
2026-04-27 10:48:11,463 | INFO | app.main | health redis ping start
2026-04-27 10:48:11,465 | INFO | app.main | health redis ping done in 0.002s ok=False error=Error 1 connecting to 127.0.0.1:6379. Operation not permitted.
2026-04-27 10:48:11,466 | INFO | app.main | health milvus status start
2026-04-27 10:48:11,467 | INFO | app.main | health milvus status done in 0.001s status={'enabled': False, 'reason': 'SKIP_MILVUS=true'}
2026-04-27 10:48:11,468 | INFO | app.main | health session load start
2026-04-27 10:48:11,468 | WARNING | app.deps | Redis 不可用，回退到内存会话存储: Error 1 connecting to 127.0.0.1:6379. Operation not permitted.
2026-04-27 10:48:11,469 | INFO | app.main | health session load done in 0.001s backend=memory messages=0
2026-04-27 10:48:11,469 | INFO | app.main | health done in 0.007s
2026-04-27 10:48:11,471 | INFO | httpx | HTTP Request: GET http://testserver/health "HTTP/1.1 200 OK"
2026-04-27 10:48:11,474 | INFO | app.main | 后台 worker 已停止
2026-04-27 10:48:11,482 | INFO | app.main | 后台 worker 已启动
2026-04-27 10:48:11,487 | INFO | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
2026-04-27 10:48:11,489 | INFO | app.main | 后台 worker 已停止
2026-04-27 10:48:11,503 | INFO | app.main | 后台 worker 已启动
2026-04-27 10:48:11,507 | INFO | app.main | chat start session_id=s1 message_length=2
2026-04-27 10:48:11,507 | INFO | app.main | chat settings loaded in 0.001s
2026-04-27 10:48:11,508 | INFO | app.main | chat rag context reset in 0.000s
2026-04-27 10:48:11,508 | INFO | app.main | chat session load start session_id=s1
2026-04-27 10:48:11,509 | INFO | app.main | chat session load done in 0.000s backend=memory messages=0 summary_chars=0
2026-04-27 10:48:11,509 | INFO | app.main | chat history prepared in 0.000s total_messages=0 windowed_messages=0
2026-04-27 10:48:11,509 | INFO | app.main | chat vector store prepare start
2026-04-27 10:48:11,510 | INFO | app.main | chat vector store prepare done in 0.000s enabled=False
2026-04-27 10:48:11,510 | INFO | app.main | chat executor build start
2026-04-27 10:48:11,510 | INFO | app.main | chat executor build done in 0.000s
2026-04-27 10:48:11,511 | INFO | app.main | chat agent invoke start
2026-04-27 10:48:11,512 | INFO | app.main | chat agent invoke done in 0.001s result_keys=['output']
2026-04-27 10:48:11,513 | INFO | app.main | chat result parsed in 0.000s raw_chars=8 citations=0 tools=[]
2026-04-27 10:48:11,513 | INFO | app.main | chat session save start
2026-04-27 10:48:11,514 | INFO | app.main | chat session save done in 0.001s
2026-04-27 10:48:11,514 | INFO | app.main | chat done in 0.007s
2026-04-27 10:48:11,516 | INFO | httpx | HTTP Request: POST http://testserver/chat "HTTP/1.1 200 OK"
2026-04-27 10:48:11,518 | INFO | app.main | 后台 worker 已停止
2026-04-27 10:48:11,528 | INFO | app.main | 后台 worker 已启动
2026-04-27 10:48:11,532 | INFO | httpx | HTTP Request: POST http://testserver/ingest "HTTP/1.1 400 Bad Request"
2026-04-27 10:48:11,533 | INFO | app.main | 后台 worker 已停止
2026-04-27 10:48:11,546 | INFO | app.main | 后台 worker 已启动
2026-04-27 10:48:11,548 | INFO | httpx | HTTP Request: POST http://testserver/ingest "HTTP/1.1 200 OK"
2026-04-27 10:48:11,551 | INFO | app.main | 后台 worker 已停止
2026-04-27 10:48:11,560 | INFO | app.main | 后台 worker 已启动
2026-04-27 10:48:11,563 | INFO | app.main | chat start session_id=rag-1 message_length=8
2026-04-27 10:48:11,564 | INFO | app.main | chat settings loaded in 0.001s
2026-04-27 10:48:11,565 | INFO | app.main | chat rag context reset in 0.000s
2026-04-27 10:48:11,565 | INFO | app.main | chat session load start session_id=rag-1
2026-04-27 10:48:11,565 | INFO | app.main | chat session load done in 0.000s backend=memory messages=0 summary_chars=0
2026-04-27 10:48:11,565 | INFO | app.main | chat history prepared in 0.000s total_messages=0 windowed_messages=0
2026-04-27 10:48:11,566 | INFO | app.main | chat vector store prepare start
2026-04-27 10:48:11,567 | INFO | app.main | chat vector store prepare done in 0.001s enabled=True
2026-04-27 10:48:11,567 | INFO | app.main | chat executor build start
2026-04-27 10:48:11,568 | INFO | app.main | chat executor build done in 0.000s
2026-04-27 10:48:11,569 | INFO | app.main | chat agent invoke start
2026-04-27 10:48:11,570 | INFO | app.main | chat agent invoke done in 0.001s result_keys=['output']
2026-04-27 10:48:11,572 | INFO | app.main | chat result parsed in 0.000s raw_chars=17 citations=1 tools=['search_knowledge']
2026-04-27 10:48:11,573 | INFO | app.main | chat session save start
2026-04-27 10:48:11,573 | INFO | app.main | chat session save done in 0.000s
2026-04-27 10:48:11,573 | INFO | app.main | chat done in 0.010s
2026-04-27 10:48:11,574 | INFO | httpx | HTTP Request: POST http://testserver/chat "HTTP/1.1 200 OK"
2026-04-27 10:48:11,575 | INFO | app.main | 后台 worker 已停止
2026-04-27 10:49:05,291 | INFO | app.main | 后台 worker 已停止
2026-04-27 10:50:02,261 | INFO | app.main | 后台 worker 已启动
2026-04-27 10:50:02,266 | INFO | app.main | health start
2026-04-27 10:50:02,268 | INFO | app.main | health settings loaded in 0.001s
2026-04-27 10:50:02,268 | INFO | app.main | health redis ping start
2026-04-27 10:50:02,269 | INFO | app.main | health redis ping done in 0.001s ok=False error=Error 1 connecting to 127.0.0.1:6379. Operation not permitted.
2026-04-27 10:50:02,271 | INFO | app.main | health milvus status start
2026-04-27 10:50:02,272 | INFO | app.main | health milvus status done in 0.001s status={'enabled': False, 'reason': 'SKIP_MILVUS=true'}
2026-04-27 10:50:02,273 | INFO | app.main | health session load start
2026-04-27 10:50:02,275 | WARNING | app.deps | Redis 不可用，回退到内存会话存储: Error 1 connecting to 127.0.0.1:6379. Operation not permitted.
2026-04-27 10:50:02,276 | INFO | app.main | health session load done in 0.003s backend=memory messages=0
2026-04-27 10:50:02,277 | INFO | app.main | health done in 0.011s
2026-04-27 10:50:02,279 | INFO | httpx | HTTP Request: GET http://testserver/health "HTTP/1.1 200 OK"
2026-04-27 10:50:02,282 | INFO | app.main | 后台 worker 已停止
2026-04-27 10:50:02,291 | INFO | app.main | 后台 worker 已启动
2026-04-27 10:50:02,294 | INFO | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
2026-04-27 10:50:02,295 | INFO | app.main | 后台 worker 已停止
2026-04-27 10:50:02,309 | INFO | app.main | 后台 worker 已启动
2026-04-27 10:50:02,315 | INFO | app.main | chat start session_id=s1 message_length=2
2026-04-27 10:50:02,316 | INFO | app.main | chat settings loaded in 0.001s
2026-04-27 10:50:02,316 | INFO | app.main | chat rag context reset in 0.000s
2026-04-27 10:50:02,317 | INFO | app.main | chat session load start session_id=s1
2026-04-27 10:50:02,319 | INFO | app.main | chat session load done in 0.002s backend=memory messages=0 summary_chars=0
2026-04-27 10:50:02,320 | INFO | app.main | chat history prepared in 0.000s total_messages=0 windowed_messages=0
2026-04-27 10:50:02,321 | INFO | app.main | chat vector store prepare start
2026-04-27 10:50:02,323 | INFO | app.main | chat vector store prepare done in 0.002s enabled=False
2026-04-27 10:50:02,324 | INFO | app.main | chat executor build start
2026-04-27 10:50:02,325 | INFO | app.main | chat executor build done in 0.001s
2026-04-27 10:50:02,325 | INFO | app.main | chat agent invoke start
2026-04-27 10:50:02,327 | INFO | app.main | chat agent invoke done in 0.002s result_keys=['output']
2026-04-27 10:50:02,328 | INFO | app.main | chat result parsed in 0.000s raw_chars=8 citations=0 tools=[]
2026-04-27 10:50:02,330 | INFO | app.main | chat session save start
2026-04-27 10:50:02,330 | INFO | app.main | chat session save done in 0.001s
2026-04-27 10:50:02,331 | INFO | app.main | chat done in 0.016s
2026-04-27 10:50:02,332 | INFO | httpx | HTTP Request: POST http://testserver/chat "HTTP/1.1 200 OK"
2026-04-27 10:50:02,334 | INFO | app.main | 后台 worker 已停止
2026-04-27 10:50:02,348 | INFO | app.main | 后台 worker 已启动
2026-04-27 10:50:02,353 | INFO | httpx | HTTP Request: POST http://testserver/ingest "HTTP/1.1 400 Bad Request"
2026-04-27 10:50:02,356 | INFO | app.main | 后台 worker 已停止
2026-04-27 10:50:02,368 | INFO | app.main | 后台 worker 已启动
2026-04-27 10:50:02,371 | INFO | httpx | HTTP Request: POST http://testserver/ingest "HTTP/1.1 200 OK"
2026-04-27 10:50:02,375 | INFO | app.main | 后台 worker 已停止
2026-04-27 10:50:02,386 | INFO | app.main | 后台 worker 已启动
2026-04-27 10:50:02,389 | INFO | app.main | chat start session_id=rag-1 message_length=8
2026-04-27 10:50:02,390 | INFO | app.main | chat settings loaded in 0.001s
2026-04-27 10:50:02,391 | INFO | app.main | chat rag context reset in 0.000s
2026-04-27 10:50:02,392 | INFO | app.main | chat session load start session_id=rag-1
2026-04-27 10:50:02,395 | INFO | app.main | chat session load done in 0.003s backend=memory messages=0 summary_chars=0
2026-04-27 10:50:02,396 | INFO | app.main | chat history prepared in 0.000s total_messages=0 windowed_messages=0
2026-04-27 10:50:02,397 | INFO | app.main | chat vector store prepare start
2026-04-27 10:50:02,398 | INFO | app.main | chat vector store prepare done in 0.001s enabled=True
2026-04-27 10:50:02,399 | INFO | app.main | chat executor build start
2026-04-27 10:50:02,400 | INFO | app.main | chat executor build done in 0.001s
2026-04-27 10:50:02,401 | INFO | app.main | chat agent invoke start
2026-04-27 10:50:02,403 | INFO | app.main | chat agent invoke done in 0.002s result_keys=['output']
2026-04-27 10:50:02,404 | INFO | app.main | chat result parsed in 0.000s raw_chars=17 citations=1 tools=['search_knowledge']
2026-04-27 10:50:02,405 | INFO | app.main | chat session save start
2026-04-27 10:50:02,405 | INFO | app.main | chat session save done in 0.001s
2026-04-27 10:50:02,406 | INFO | app.main | chat done in 0.017s
